"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"3911","2011ke","","207.74075","26.278444","SLSN-I","0.143","11870","2011-05-15 00:00:00.00","2455696.5","","Other","Other","Unknown","Inserra","","Y","","","2011ke_2011-05-15_00-00-00_Other_Other_None.ascii","","Object","High","","Air","Angstrom","1","Other","","3600","0","","","","","","","2948.3814523185","8746.5892913386","2.3155782104713","Inserra et al. 2013","2013ApJ...770..128I","Spectrum is corrected for reddening, de-deredshifted back to observed WLs [Data obtained from:Inserra] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2014-06-19 12:33:25"
"3911","2011ke","","207.74075","26.278444","SLSN-I","0.143","11871","2011-05-22 00:00:00.00","2455703.5","","TNG","NICS","Unknown","Inserra","","Y","","","2011ke_2011-05-22_00-00-00_TNG_NICS_None.ascii","","Object","High","","Air","Angstrom","1","Other","","2700","0","","","","","","","3060","7727.1377252843","4.0689954012941","Inserra et al. 2013","2013ApJ...770..128I","Spectrum is corrected for reddening, de-deredshifted back to observed WLs [Data obtained from:Inserra] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2014-06-19 12:33:25"
"3911","2011ke","PTF11dij","207.74075","26.278444","SLSN-I","0.143","11887","2011-07-02 00:00:00.00","2455744.5","","Keck1","LRIS","NA","NA","PTF","Y","PTF","","SN2011ke_2011-07-02_00-00-00_Keck1_LRIS_PTF.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","2744.099988189","8810.3394757655","5.1936981914183","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2011-05-13 06:59:12"
"3911","2011ke","PTF11dij","207.74075","26.278444","SLSN-I","0.143","11890","2012-03-23 00:00:00.00","2456009.5","","Keck1","LRIS","NA","NA","PTF","Y","PTF","","SN2011ke_2012-03-23_00-00-00_Keck1_LRIS_PTF_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","2785.5563217848","8028.2677677165","4.9459541942752","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2011-05-13 06:59:12"
