"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"9443","2012fr","","53.39996","-36.12714","SN Ia","0.004","28969","2012-10-28 20:25:36.00","2456229.3511111","","SALT","RSS","Pickering","McCully/Jha","","Y","","","SN2012fr_2012-10-28_20-25-36_SALT_RSS_None.dat","","Object","High","","Air","Angstrom","1","Other","","1200","1.5","","","","","900","","3466.1850507968","8991.4015547809","0.94626074738552","Childress et al 2013","2013ApJ...770...29C","[Data obtained from:Michael Childress] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2012-11-13 18:01:14"
"9443","2012fr","","53.39996","-36.12714","SN Ia","0.004","56040","2012-11-06 09:11:31.00","2456237.8829977","","Lick-3m","KAST","Brad Cenko, Pat Kelly","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2012fr_2012-11-06_09-11-31_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3405.4166413879","10218.239069398","1.9885646316434","","2020MNRAS.492.4325S","SNR: 95.981;","WIS_Bot1","2020-03-08 23:26:39"
"9443","2012fr","","53.39996","-36.12714","SN Ia","0.004","56041","2012-11-14 07:42:14.00","2456245.8209954","","Lick-3m","KAST","Kelsey Clubb, Ori Fox","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2012fr_2012-11-14_07-42-14_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3431.2755294359","10443.012480892","1.9885810979739","","2020MNRAS.492.4325S","SNR: 74.9189;","WIS_Bot1","2020-03-08 23:26:39"
"9443","2012fr","","53.39996","-36.12714","SN Ia","0.004","56042","2012-11-20 07:11:59.00","2456251.7999884","","Lick-3m","KAST","Brad Cenko, Ori Fox","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2012fr_2012-11-20_07-11-59_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3431.2755294359","10443.012480892","1.9885810979739","","2020MNRAS.492.4325S","SNR: 58.9316;","WIS_Bot1","2020-03-08 23:26:39"
