"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"261","2014G","","163.642208","54.299139","SN IIL","0.0039","773","2014-01-14 03:09:15.00","2456671.6314236","","Galileo","BC-Asi","Ochner Dalla Bonta","Terreran","","Y","","","2014G_2014-01-14_03-09-15_Galileo_BC-Asi_None.dat","2014G_2014-01-14_03-09-15_Galileo_BC-Asi_None.fits","Object","","","Air","Angstrom","1","Other","","1800","291","","1.016","","","300","","3256.4519370549","7899.8483064486","2.2964373735874","Terreran et al. 2016","2016MNRAS.462..137T","[Data obtained from:Terreran, G.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2016-08-10 16:07:13"
"261","2014G","","163.642208","54.299139","SN IIL","0.0039","774","2014-01-15 21:53:21.00","2456673.4120486","","Galileo","BC-Asi","Ochner Dalla Bonta","Terreran","","Y","","","2014G_2014-01-15_21-53-21_Galileo_BC-Asi_None.dat","2014G_2014-01-15_21-53-21_Galileo_BC-Asi_None.fits","Object","","","Air","Angstrom","1","Other","","1800","291","","1.368","","","300","","3257.7381804712","7901.7272091966","2.2967304790927","Terreran et al. 2016","2016MNRAS.462..137T","[Data obtained from:Terreran, G.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2016-08-10 16:07:13"

