"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"1298","2013ej","","24.2007","15.7586","SN II","0.002192","3975","2013-07-31 00:00:00.00","2456504.5","","Galileo","BC-Asi","Unknown","Unknown","","Y","","","SN2013ej_2013-07-31_00-00-00_Galileo_BC-Asi_None.asci","SN2013ej_2013-07-31_00-00-00_Galileo_BC-Asi_None.fits","Object","High","","Air","Angstrom","1","Other","","0","0","","","","","","","3397.6224798835","7969.5239675257","2.2985930053505","Valenti et al. 2014","2014MNRAS.438L.101V","[Data obtained from:Valenti, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-08-04 13:07:54"
"1298","2013ej","","24.2007","15.7586","SN II","0.002192","4047","2013-08-01 00:00:00.00","2456505.5","","HET","HET-LRS","S. Rostopchin","Jeffrey Silverman","TS3","Y","TS3","","SN2013ej_2013-08-01_00-00-00_HET_HET-LRS_TS3.flm","","Object","High","","Air","Angstrom","1","Other","","0","2","","","","300 l/mm","","","4162.8749780481","10776.378179032","1.9950235900403","Dhungana et al. 2016","2016ApJ...822....6D","[Data obtained from:Govinda Dhungana] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-08-04 13:07:54"
"1298","2013ej","","24.2007","15.7586","SN II","0.002192","3983","2013-08-02 11:02:24.00","2456506.96","","Keck2","DEIMOS","K. I. Clubb, O. D. Fox","S. B. Cenko","","Y","","","SN2013ej_2013-08-02_11-02-24_Keck2_DEIMOS_None.flm","","Object","High","","Air","Angstrom","1","Other","","60","0","","","","","","","4415.2144280986","9603.9255093385","0.63416170633585","Dhungana et al. 2016","2016ApJ...822....6D","[Data obtained from:Dhungana, G.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-08-04 13:07:54"
"1298","2013ej","","24.2007","15.7586","SN II","0.002192","3990","2013-08-05 00:00:00.00","2456509.5","","FTN","FLOYDS-N","Unknown","Unknown","","Y","","","SN2013ej_2013-08-05_00-00-00_FTN_FLOYDS-N_None.asci","SN2013ej_2013-08-05_00-00-00_FTN_FLOYDS-N_None.fits","Object","High","","Air","Angstrom","1","Other","","0","0","","","","","","","3111.7929634959","10577.100152715","1.7357142964937","Valenti et al. 2014","2014MNRAS.438L.101V","[Data obtained from:Valenti, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-08-04 13:07:54"
"1298","2013ej","","24.2007","15.7586","SN II","0.002192","3997","2013-08-08 00:00:00.00","2456512.5","","Galileo","BC-Asi","Unknown","Unknown","","Y","","","SN2013ej_2013-08-08_00-00-00_Galileo_BC-Asi_None_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3388.2230151508","7968.2835225186","2.3026950766053","Yuan et al. 2016","2016MNRAS.461.2003Y","[Data obtained from:Yuan, F.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-08-04 13:07:54"
"1298","2013ej","","24.2007","15.7586","SN II","0.002192","54065","2013-08-12 12:11:31.00","2456517.0079977","","Lick-3m","KAST","Isaac Shivvers","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2013ej_2013-08-12_12-11-31_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3442.454140524","10477.034340725","1.9950596143509","","","SNR: 97.5938;","WIS_Bot1","2019-09-29 22:15:11"
"1298","2013ej","","24.2007","15.7586","SN II","0.002192","4012","2013-08-21 00:00:00.00","2456525.5","","Galileo","BC-Asi","Unknown","Unknown","","Y","","","SN2013ej_2013-08-21_00-00-00_Galileo_BC-Asi_None.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3395.8562830276","7967.4952504111","2.2984610192979","Yuan et al. 2016","2016MNRAS.461.2003Y","[Data obtained from:Yuan, F.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-08-04 13:07:54"
"1298","2013ej","","24.2007","15.7586","SN II","0.002192","54055","2013-09-10 09:48:57.00","2456545.9089931","","Keck2","DEIMOS","Kelsey Clubb, Pat Kelly","Brad Cenko","UCB-SNDB","Y","UCB-SNDB","","SN_2013ej_2013-09-10_09-48-57_Keck2_DEIMOS_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","4440.2669348788","9618.9154927484","0.6346383036605","","","SNR: 70.5228;","WIS_Bot1","2019-09-29 22:15:11"
"1298","2013ej","","24.2007","15.7586","SN II","0.002192","54047","2013-10-05 07:53:45.00","2456570.8289931","","Other","Other","Unknown","","UCB-SNDB","Y","UCB-SNDB","","SN_2013ej_2013-10-05_07-53-45_Other_Other_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3691.9073391127","10477.034340725","1.9950388125882","","","SNR: 41.8618;","WIS_Bot1","2019-09-29 22:15:11"
