# File created by shivutils (I.Shivvers)
# wl(A)   flm    er(optional)
3500.00   0.00125325
3500.52   0.00210622
3501.04   0.00389797
3501.55   -0.00237191
3502.07   -0.00406395
3502.59   0.00304959
3503.11   0.00759442
3503.63   0.00296196
3504.14   0.00148332
3504.66   0.00235272
3505.18   0.00245725
3505.70   0.00110422
3506.22   0.00070114
3506.73   0.00393942
3507.25   0.00112565
3507.77   -0.00360959
3508.29   0.00113696
3508.81   0.00191497
3509.32   0.00434340
3509.84   0.00495008
3510.36   0.00550496
3510.88   0.00108413
3511.39   -0.00161753
3511.91   0.00362165
3512.43   0.00593377
3512.95   0.00525350
3513.47   0.00252673
3513.98   0.00250146
3514.50   0.00519419
3515.02   0.00127123
3515.54   0.00151002
3516.06   0.00468387
3516.57   0.00621136
3517.09   0.00614723
3517.61   0.00609537
3518.13   0.01174555
3518.65   0.01061755
3519.16   0.00207708
3519.68   0.00293875
3520.20   0.00594237
3520.72   0.00429112
3521.24   0.00254241
3521.75   0.00201836
3522.27   -0.00043872
3522.79   0.00242706
3523.31   0.00623371
3523.83   0.00535686
3524.34   0.00413427
3524.86   0.00397058
3525.38   0.00621587
3525.90   0.00641934
3526.42   0.00426972
3526.93   0.00222763
3527.45   0.00233108
3527.97   0.00480075
3528.49   0.00084266
3529.01   -0.00667717
3529.52   -0.00134848
3530.04   0.00544513
3530.56   0.00291110
3531.08   0.00131906
3531.59   -0.00008965
3532.11   0.00145135
3532.63   0.00777849
3533.15   0.00434137
3533.67   -0.00080326
3534.18   0.00236619
3534.70   0.00328799
3535.22   0.00094217
3535.74   0.00078631
3536.26   -0.00097868
3536.77   0.00058127
3537.29   -0.00154856
3537.81   -0.00737256
3538.33   -0.00186220
3538.85   0.00563840
3539.36   0.00531853
3539.88   0.00338706
3540.40   0.00465735
3540.92   0.00409689
3541.44   0.00566057
3541.95   0.00673896
3542.47   0.00483042
3542.99   0.00459491
3543.51   0.00147622
3544.03   -0.00000609
3544.54   0.00259233
3545.06   0.00696959
3545.58   0.00433848
3546.10   0.00206643
3546.62   0.00106675
3547.13   0.00365089
3547.65   0.00206051
3548.17   -0.00195648
3548.69   -0.00023675
3549.21   0.00399387
3549.72   0.00438321
3550.24   0.00362444
3550.76   0.00337180
3551.28   0.00133732
3551.79   0.00418473
3552.31   0.01112255
3552.83   0.00777522
3553.35   -0.00184289
3553.87   -0.00350163
3554.38   -0.00093930
3554.90   0.00206559
3555.42   0.00440546
3555.94   -0.00108809
3556.46   -0.00241596
3556.97   0.00211406
3557.49   0.00529225
3558.01   0.00702202
3558.53   0.00504587
3559.05   0.00159410
3559.56   0.00133058
3560.08   0.00056130
3560.60   0.00116160
3561.12   0.00275697
3561.64   0.00288483
3562.15   0.00218723
3562.67   0.00160090
3563.19   -0.00070230
3563.71   -0.00147202
3564.23   -0.00188610
3564.74   -0.00176524
3565.26   0.00074103
3565.78   0.00077633
3566.30   -0.00113305
3566.82   -0.00148035
3567.33   -0.00222244
3567.85   -0.00142143
3568.37   0.00449923
3568.89   0.00537558
3569.40   0.00087577
3569.92   0.00112631
