3701.299	2.95749334063454E-16
3705.896995	2.98229144240949E-16
3710.49499	3.07416568435035E-16
3715.092985	3.12007054001499E-16
3719.69098	3.17140305990813E-16
3724.288975	3.19181303591326E-16
3728.88697	3.20187067265739E-16
3733.484965	3.2119433106194E-16
3738.08296	3.23252879713598E-16
3742.680955	3.25846118728889E-16
3747.27895	3.26337763632343E-16
3751.876945	3.33715783953262E-16
3756.47494	3.26705623965989E-16
3761.072935	3.30467198658012E-16
3765.67093	3.61847272454934E-16
3770.268925	3.38424142730231E-16
3774.86692	3.50471957642213E-16
3779.464915	3.44839984672536E-16
3784.06291	3.43196507153916E-16
3788.660905	3.4153763010211E-16
3793.2589	3.45311487040838E-16
3797.856895	3.45277802299097E-16
3802.45489	3.46334967353842E-16
3807.052885	3.55217257296877E-16
3811.65088	3.49555802987002E-16
3816.248875	3.58917627824349E-16
3820.84687	3.53486692477254E-16
3825.444865	3.87725415363091E-16
3830.04286	3.84989215286952E-16
3834.640855	3.69466785222653E-16
3839.23885	3.92763795931015E-16
3843.836845	4.06590783529836E-16
3848.43484	3.98920261961561E-16
3853.032835	3.99172927744391E-16
3857.63083	4.15784762002179E-16
3862.228825	4.31487456018343E-16
3866.82682	5.01229742252941E-16
3871.424815	3.89353786354334E-16
3876.02281	3.70215569221387E-16
3880.620805	5.41871751187058E-16
3885.2188	5.56128720064312E-16
3889.816795	5.62998728784036E-16
3894.41479	5.44806336828537E-16
3899.012785	5.47055080147845E-16
3903.61078	5.69937410463058E-16
3908.208775	5.92742826068966E-16
3912.80677	5.99272207783931E-16
3917.404765	5.80510043817758E-16
3922.00276	6.19582977527269E-16
3926.600755	6.34320987004098E-16
3931.19875	5.64568030405262E-16
3935.796745	5.963979899584E-16
3940.39474	6.26341771112351E-16
3944.992735	6.55588858000377E-16
3949.59073	6.52317656605442E-16
3954.188725	6.70318067500085E-16
3958.78672	5.86168204255935E-16
3963.384715	5.70617389838988E-16
3967.98271	5.2817669802228E-16
3972.580705	5.36142071495658E-16
3977.1787	5.62361752510533E-16
3981.776695	4.96043347931514E-16
3986.37469	5.29072974887559E-16
3990.972685	5.34728216491095E-16
3995.57068	5.33418716936104E-16
4000.168675	4.95984519776706E-16
4004.76667	5.01279631118947E-16
4009.364665	4.75868368167315E-16
4013.96266	4.7498044076128E-16
4018.560655	4.77920004829972E-16
4023.15865	5.30942953632119E-16
4027.756645	5.24102714074384E-16
4032.35464	5.09834009505556E-16
4036.952635	5.07908447323877E-16
4041.55063	5.17891883289276E-16
4046.148625	5.11582759355079E-16
4050.74662	5.03444377353952E-16
4055.344615	5.3390083530972E-16
4059.94261	4.99486745126054E-16
4064.540605	4.18359010823095E-16
4069.1386	4.14857105582555E-16
4073.736595	4.43257125182126E-16
4078.33459	4.5743825045405E-16
4082.932585	4.33857764457408E-16
4087.53058	4.55379877089882E-16
4092.128575	4.34463827085119E-16
4096.72657	4.27396279149395E-16
4101.324565	4.15758387119966E-16
4105.92256	4.37332993969152E-16
4110.520555	4.32861277682379E-16
4115.11855	4.43418066709526E-16
4119.716545	3.96184696360515E-16
4124.31454	3.93909018470677E-16
4128.912535	3.98901482665642E-16
4133.51053	4.10310736429559E-16
4138.108525	4.22783142404104E-16
