"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"4364","2003gd","","24.17771","15.73914","SN II","0.002192","13086","2003-06-29 00:00:00.00","2452819.5","","Keck1","LRIS","Alex Filippenko, Alison Coil","Douglas Leonard","","Y","","","SN2003gd_2003-06-29_00-00-00_Keck1_LRIS_None.ascii","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3242.891581653","9179.8777080639","1.9949550155951","","","Data was ingested from the &lt;a href=&#039;https://sne.space/&#039;&gt;Open Supernova Catalog&lt;/a&gt; [CAUTION: The uploaded spectrum may already be de-redshifted; please check.] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-08-11 21:39:42"
"4364","2003gd","","24.17771","15.73914","SN II","0.002192","13087","2003-07-07 00:00:00.00","2452827.5","","Lick-3m","KAST","Ryan Foley, Louis Desroches, Mohan Ganeshalingam","Thea Steele","","Y","","","SN2003gd_2003-07-07_00-00-00_Lick-3m_KAST_None.ascii","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3292.7822213708","10477.034340725","1.9950714022089","","","Data was ingested from the &lt;a href=&#039;https://sne.space/&#039;&gt;Open Supernova Catalog&lt;/a&gt; [CAUTION: The uploaded spectrum may already be de-redshifted; please check.] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-08-11 21:39:42"
"4364","2003gd","","24.17771","15.73914","SN II","0.002192","13088","2003-07-27 00:00:00.00","2452847.5","","Lick-3m","KAST","Alex Filippenko, Ryan Foley, Louis Desroches","Ryan Foley","","Y","","","SN2003gd_2003-07-27_00-00-00_Lick-3m_KAST_None.ascii","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3292.7822213708","10377.25306129","1.9950635989634","","","Data was ingested from the &lt;a href=&#039;https://sne.space/&#039;&gt;Open Supernova Catalog&lt;/a&gt; [CAUTION: The uploaded spectrum may already be de-redshifted; please check.] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-08-11 21:39:42"
"4364","2003gd","","24.17771","15.73914","SN II","0.002192","13089","2003-10-28 00:00:00.00","2452940.5","","Lick-3m","KAST","Alex Filippenko, Ryan Foley, Brandon Swift","Ryan Foley","","Y","","","SN2003gd_2003-10-28_00-00-00_Lick-3m_KAST_None.ascii","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3252.8697095966","10377.25306129","1.9950667464836","","","Data was ingested from the &lt;a href=&#039;https://sne.space/&#039;&gt;Open Supernova Catalog&lt;/a&gt; [CAUTION: The uploaded spectrum may already be de-redshifted; please check.] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-08-11 21:39:42"
