"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"7859","2010ae","","108.97771","-57.34358","SN Iax[02cx-like]","0.003662","23652","2010-02-24 00:00:00.00","2455251.5","","VLT-UT2","X-Shooter","Unknown","Unknown","","Y","","","2010ae_2010-02-24_00-00-00_VLT-UT2_X-Shooter_None.txt","2010ae_2010-02-24_00-00-00_VLT-UT2_X-Shooter_None.fits","Object","","","Air","Angstrom","1","Other","","500","0","","","","","UV+VIS+NIR","","3058.8049901262","24698.553895634","0.30267076347639","Stritzinger et al. 2014","2014A&amp;A...561A.146S","[Data obtained from:Giorgos Leloudas] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-12-11 16:16:10"
"7859","2010ae","","108.97771","-57.34358","SN Iax[02cx-like]","0.003662","23657","2010-03-01 00:00:00.00","2455256.5","","Gemini-S","GMOS-S","Unknown","Unknown","","Y","","","2010ae_2010-03-01_00-00-00_Gemini-S_GMOS-S_None.txt","2010ae_2010-03-01_00-00-00_Gemini-S_GMOS-S_None.fits","Object","","","Air","Angstrom","1","Other","","800","0","","","","","B600+R600","","3569.9444414554","8925.9469711915","0.92776763030246","Stritzinger et al. 2014","2014A&amp;A...561A.146S","[Data obtained from:Giorgos Leloudas] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-12-11 16:16:10"
"7859","2010ae","","108.97771","-57.34358","SN Iax[02cx-like]","0.003662","23661","2010-03-06 00:00:00.00","2455261.5","","VLT-UT2","X-Shooter","Unknown","Unknown","","Y","","","2010ae_2010-03-06_00-00-00_VLT-UT2_X-Shooter_None.txt","2010ae_2010-03-06_00-00-00_VLT-UT2_X-Shooter_None.fits","Object","","","Air","Angstrom","1","Other","","1500","0","","","","","UV+VIS+NIR","","3058.9065840891","24698.553895634","0.30191767323639","Stritzinger et al. 2014","2014A&amp;A...561A.146S","[Data obtained from:Giorgos Leloudas] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-12-11 16:16:10"
"7859","2010ae","","108.97771","-57.34358","SN Iax[02cx-like]","0.003662","23668","2010-03-15 00:00:00.00","2455270.5","","VLT-UT2","X-Shooter","Unknown","Unknown","","Y","","","2010ae_2010-03-15_00-00-00_VLT-UT2_X-Shooter_None.txt","2010ae_2010-03-15_00-00-00_VLT-UT2_X-Shooter_None.fits","Object","","","Air","Angstrom","1","Other","","1500","0","","","","","UV+VIS+NIR","","3058.9065840891","24698.553895634","0.30191767323639","Stritzinger et al. 2014","2014A&amp;A...561A.146S","[Data obtained from:Giorgos Leloudas] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-12-11 16:16:10"
"7859","2010ae","","108.97771","-57.34358","SN Iax[02cx-like]","0.003662","23670","2010-04-17 00:00:00.00","2455303.5","","Gemini-S","GMOS-S","Unknown","Unknown","","Y","","","2010ae_2010-04-17_00-00-00_Gemini-S_GMOS-S_None.txt","2010ae_2010-04-17_00-00-00_Gemini-S_GMOS-S_None.fits","Object","","","Air","Angstrom","1","Other","","2500","0","","","","","B600","","3568.4416437008","6397.0247832438","0.93692717440974","Stritzinger et al. 2014","2014A&amp;A...561A.146S","[Data obtained from:Giorgos Leloudas] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-12-11 16:16:10"
