"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"87","","PTF10scc","352.043712","28.641976","SN IIn","0.242","206","2010-10-03 00:00:00.00","2455472.5","","Keck1","LRIS","Kasliwal, Ben-Ami","Xu","PTF","N","PTF","2100-01-01","PTF10scc_2010-10-03_00-00-00_Keck1_LRIS_PTF.ascii","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","2487.922705314","8244.7665056361","4.0229516424333","","","[Marshal: lastmodified=2010-10-06 04:29:36; specid=1941]  [Prev. spec info - createdby: upload-marshalspec; modifiedby: upload-marshalspec]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"87","","PTF10scc","352.043712","28.641976","SN IIn","0.242","208","2010-11-01 00:00:00.00","2455501.5","","Keck1","LRIS","Kasliwal+Horesh+Sesar","Ofer Yaron","PTF","N","PTF","2100-01-01","PTF10scc_2010-11-01_00-00-00_Keck1_LRIS_PTF.flm","","Object","","","Air","Angstrom","1","Other","","600","1","","","mirror","300/5000","","","2818.0354267311","6038.6473429952","1.6095012075283","","","Blue chip only; 2nd order contamination on red side, partially corrected using red std -BD174708- from Nov 05. [Prev. spec info - createdby: ofer-BunchUpload; modifiedby: ofer-BunchUpload]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
